City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
258,Vanimo,PG,-2.6741,141.3028,77.2,92,100,3.65,overcast clouds
259,Hudson Bay,CA,52.85,-102.3842,32.47,75,89,2.15,overcast clouds
260,Krasnyy Chikoy,RU,50.3643,108.7512,23.34,88,31,1.61,scattered clouds
261,Almaznyy,RU,48.0448,40.045,48.97,79,0,19.37,clear sky
262,Iracoubo,GF,5.4802,-53.2011,77.79,86,93,12.71,light rain
263,Kargopol,RU,61.5071,38.9456,8.65,98,44,3.42,scattered clouds
264,Bethel,US,41.3712,-73.414,50.85,45,28,1.92,scattered clouds
265,Randudongkal,ID,-7.0981,109.3243,75.88,90,93,2.06,overcast clouds
266,Narsaq,GL,60.9167,-46.05,37.62,94,100,1.03,overcast clouds
267,Zaria,NG,11.1113,7.7227,80.87,10,72,5.12,broken clouds
268,Hammerfest,NO,70.6634,23.6821,18.05,79,20,0.0,few clouds
269,Kodinsk,RU,58.6881,99.1844,7.03,98,88,4.27,overcast clouds
270,Kardamaina,GR,36.7814,27.1425,62.08,67,0,3.44,clear sky
271,Prince Rupert,CA,54.3161,-130.3201,41.31,85,100,18.61,moderate rain
272,Kieta,PG,-6.2167,155.6333,82.96,75,93,6.93,overcast clouds
273,Pavino,RU,59.1139,46.1414,27.52,96,100,11.54,snow
274,Porto Novo,BJ,6.4965,2.6036,82.06,82,100,9.75,overcast clouds
275,Ambilobe,MG,-13.2,49.05,72.18,96,3,1.7,clear sky
276,Kidodi,TZ,-7.6036,37.0044,70.77,94,23,1.07,few clouds
277,Chute-Aux-Outardes,CA,49.1168,-68.399,33.4,71,10,16.08,clear sky
278,Asau,RO,46.4333,26.4,40.95,97,99,2.33,overcast clouds
279,Port-Gentil,GA,-0.7193,8.7815,78.46,81,95,7.18,overcast clouds
280,Deputatskiy,RU,69.3,139.9,-8.93,99,100,1.88,overcast clouds
281,Springbok,ZA,-29.6643,17.8865,55.13,69,26,1.48,scattered clouds
282,Torbay,CA,47.6666,-52.7314,37.58,89,100,18.41,overcast clouds
283,Acari,PE,-15.4311,-74.6158,72.3,77,42,5.5,scattered clouds
284,Sakaiminato,JP,35.55,133.2333,46.22,72,10,8.25,clear sky
285,Baniyas,SY,35.1819,35.9487,57.49,45,64,2.21,broken clouds
286,Lahij,YE,13.1667,44.5833,79.0,34,2,4.97,clear sky
287,Abong Mbang,CM,3.9833,13.1833,72.88,71,99,3.71,overcast clouds
288,Vestmannaeyjar,IS,63.4427,-20.2734,45.55,97,100,10.22,heavy intensity rain
289,Dawei,MM,14.0833,98.2,71.46,70,95,8.21,overcast clouds
290,Sechura,PE,-5.5569,-80.8222,77.65,63,48,20.83,scattered clouds
291,Bagdarin,RU,54.4333,113.6,34.16,66,89,17.96,overcast clouds
292,Narasannapeta,IN,18.4167,84.05,78.73,88,31,11.54,scattered clouds
293,Gat,IL,31.61,34.7642,69.4,41,100,3.13,overcast clouds
294,Saint-Joseph,RE,-21.3667,55.6167,72.1,97,100,14.92,very heavy rain
295,Marzuq,YE,14.4,46.4667,68.67,29,3,5.26,clear sky
296,Heihe,CN,50.2441,127.4902,41.4,59,11,11.54,few clouds
297,Te Anau,NZ,-45.4167,167.7167,61.61,48,25,0.36,scattered clouds
298,Copiapo,CL,-27.3667,-70.3333,58.69,52,0,5.1,clear sky
299,Sinnamary,GF,5.3833,-52.95,77.77,87,89,13.11,moderate rain
300,Ngunguru,NZ,-35.6167,174.5,68.74,71,99,1.63,overcast clouds
301,Saint Marys,US,30.7305,-81.5465,67.05,91,75,0.0,broken clouds
302,Richards Bay,ZA,-28.783,32.0377,71.78,95,93,3.67,light rain
303,Conceicao Do Araguaia,BR,-8.2578,-49.2647,75.27,92,70,2.62,broken clouds
304,Leshukonskoye,RU,64.8989,45.7622,13.46,95,67,3.71,broken clouds
305,Camana,PE,-16.6228,-72.7111,69.89,80,58,5.91,broken clouds
306,Nyurba,RU,63.2842,118.3319,6.13,96,100,3.69,overcast clouds
307,Kemijarvi,FI,66.7131,27.4306,20.73,97,91,4.83,overcast clouds
308,Antofagasta,CL,-23.65,-70.4,63.68,81,4,5.44,clear sky
309,Tuatapere,NZ,-46.1333,167.6833,58.86,66,31,3.2,scattered clouds
310,Half Moon Bay,US,37.4636,-122.4286,80.62,57,40,19.57,scattered clouds
311,Vrangel,RU,42.7297,133.0839,38.84,84,0,2.24,clear sky
312,Jibuti,DJ,11.5,42.5,73.11,72,9,9.82,clear sky
313,Llanes,ES,43.4198,-4.7549,43.11,82,75,13.24,light rain
314,Sabaudia,IT,41.3003,13.0282,40.91,93,97,13.67,light rain
315,Crateus,BR,-5.1783,-40.6775,72.19,94,90,2.59,overcast clouds
316,Krechevitsy,RU,58.617,31.401,24.85,92,73,7.63,broken clouds
317,Ahipara,NZ,-35.1667,173.1667,69.73,73,100,1.48,overcast clouds
318,Morgan City,US,29.6994,-91.2068,75.99,49,0,8.05,clear sky
319,Labuan,MY,5.2767,115.2417,80.42,79,84,5.73,broken clouds
320,Alice Springs,AU,-23.7,133.8833,69.22,32,44,0.0,scattered clouds
321,Weilheim,DE,47.8333,11.15,30.43,98,100,2.28,light snow
322,Gujar Khan,PK,33.2558,73.3026,76.62,23,2,6.26,clear sky
323,Sobolevo,RU,54.4299,31.8996,29.03,93,100,16.42,overcast clouds
324,Luderitz,NA,-26.6481,15.1594,59.5,81,0,12.19,clear sky
325,Brenham,US,30.1669,-96.3977,81.36,41,0,9.22,clear sky
326,Debre Birhan,ET,9.6833,39.5333,50.31,82,48,5.35,scattered clouds
327,Kavaratti,IN,10.5669,72.642,81.95,74,9,4.03,clear sky
328,Conway,US,35.0887,-92.4421,73.24,44,0,6.91,clear sky
329,Awbari,LY,26.5921,12.7805,74.14,16,60,8.32,broken clouds
330,Huilong,CN,31.8111,121.655,47.93,62,0,4.29,clear sky
331,Xam Nua,LA,20.4197,104.0439,46.24,94,15,1.1,few clouds
332,Ischia,IT,40.7342,13.9471,45.55,80,95,8.99,overcast clouds
333,Noumea,NC,-22.2763,166.4572,86.0,99,83,13.11,broken clouds
334,Kaitangata,NZ,-46.2817,169.8464,61.02,61,32,8.46,scattered clouds
