City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
491,Catmondaan,PH,78.44,overcast clouds,10.6861,124.0139,Vista Azul
492,Port Keats,AU,81.52,few clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
495,Mahajanga,MG,75.22,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
499,Kitgum,UG,76.26,broken clouds,3.2783,32.8867,Jaflo Gardens Hotel
509,Ugoofaaru,MV,82.24,clear sky,5.6667,73.0,Ungoofaaru Inn
517,Roebourne,AU,79.77,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
519,Bathsheba,BB,77.61,few clouds,13.2167,-59.5167,Atlantis Hotel
520,Barranca De Upia,CO,79.86,overcast clouds,4.5696,-72.9668,HOTEL GUAICARAMO
522,Rameswaram,IN,83.03,few clouds,9.2833,79.3,Daiwik Hotels Rameswaram
524,Srandakan,ID,75.88,broken clouds,-7.9386,110.2506,Puri Brata
532,Sur,OM,82.71,broken clouds,22.5667,59.5289,Sur Plaza Hotel
537,Quatre Cocos,MU,76.08,moderate rain,-20.2078,57.7625,Sunrise Attitude Hotel
538,Conde,BR,78.26,few clouds,-7.2597,-34.9075,Pousada Beija Flor
544,Kulachi,PK,78.33,clear sky,31.9286,70.4592,Technical Zafran Mobile Zon kulachi
546,Tautira,PF,82.26,light rain,-17.7333,-149.15,Pension Oaoa
550,Acarau,BR,76.8,broken clouds,-2.8856,-40.12,castelo pizzaria
553,Touros,BR,80.11,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
556,San Joaquin,US,80.67,clear sky,37.9333,-121.3011,University Plaza Waterfront Hotel
564,Puerto Ayacucho,VE,77.43,broken clouds,5.6639,-67.6236,Posada Turistica Manapiare
568,Guapo,BR,80.98,scattered clouds,-16.8306,-49.5319,Lar de idosos de Guapó
569,Puri,IN,81.12,clear sky,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
571,Ca Mau,VN,76.48,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
572,Arlit,NE,85.93,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
576,Kirakira,SB,81.72,overcast clouds,-10.4544,161.9205,SanBiz Lodge
581,Grand-Lahou,CI,80.15,light rain,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
584,Axim,GH,80.4,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
588,Umm Lajj,SA,81.32,clear sky,25.0213,37.2685,Moon light Furnished Units
590,Gweta,BW,76.53,broken clouds,-20.1833,25.2333,Gweta Lodge
595,Takoradi,GH,80.65,overcast clouds,4.8845,-1.7554,Raybow International Hotel
600,Kismayo,SO,80.47,scattered clouds,-0.3582,42.5454,Agan-Hotel
607,Pitimbu,BR,79.39,few clouds,-7.4706,-34.8086,Reserva do Abiaí
611,Natal,BR,82.62,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
615,Callaguip,PH,78.39,overcast clouds,18.0714,120.4867,Pangil Beach Resort
620,Aloleng,PH,79.47,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
625,Loreto,MX,84.61,few clouds,22.2667,-101.9667,José de Jesús Velásquez mora
627,Kupang,ID,77.31,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
630,Catuday,PH,78.12,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
631,Wenchi,GH,77.54,light rain,7.7392,-2.1046,Ebenezer Hotel
632,Mahbubabad,IN,77.58,few clouds,17.6167,80.0167,District Collector Residence
633,Barstow,US,83.39,scattered clouds,34.8986,-117.0228,"Motel 6 Barstow, CA"
639,Panama City,PA,87.75,scattered clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
645,Rawson,AR,75.51,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
646,Hambantota,LK,77.5,scattered clouds,6.1241,81.1185,Bungalow 63
647,Iberia,US,80.67,clear sky,29.9502,-91.7507,back to back rv park
649,Nileshwar,IN,78.46,clear sky,12.25,75.1,Neeleshwar Hermitage
654,Denpasar,ID,78.46,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
664,Oistins,BB,77.09,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
665,Alappuzha,IN,78.28,scattered clouds,9.49,76.3264,Panoramic Sea Resort
675,San Ramon,US,79.95,clear sky,37.7799,-121.978,San Ramon Marriott
681,Aquiraz,BR,79.18,overcast clouds,-3.9014,-38.3911,Pousada Rua Camurupim
684,Gigmoto,PH,79.47,broken clouds,13.7796,124.39,Cj's Travellers Inn
689,Esna,EG,75.22,broken clouds,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
693,Kudahuvadhoo,MV,82.15,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
695,Winton,US,80.62,clear sky,37.3894,-120.6133,Applegate Inn
702,Saint George,US,79.95,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
706,Coahuayana,MX,82.6,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
